2347,Elon Musk,"Any product that needs a manual to work is broken.
",https://quotesondesign.com/elon-musk/
2345,Martin LeBlanc,"A user interface is like a joke. If you have to explain it, it&#8217;s not that good. 
",https://quotesondesign.com/martin-leblanc/
2343,Startup L. Jackson,"Y&#8217;all talk about UX like it&#8217;s just another feature. For a user, it literally is the product. Full stop. Everything else is inside baseball.
",https://quotesondesign.com/startup-l-jackson/
2328,Pete Episcopo,"Everything we do communicates.
",https://quotesondesign.com/pete-episcopo-2/
2326,Bruce Ediger,"The only &#8220;intuitive&#8221; interface is the nipple. After that it&#8217;s all learned.
",https://quotesondesign.com/bruce-ediger/
2323,Victoria Pater,"Only show work you like, or you&#8217;ll end up being hired to do things you don&#8217;t like.
",https://quotesondesign.com/victoria-pater/
2320,Jennifer Cirpici,"If you want to be the designer that stands out of the rest, do something more than just designing. Make an interesting project like for charity, start an agency, hold an exhibition, start a design festival or build a site like Behance. Become interesting.
",https://quotesondesign.com/jennifer-cirpici/
2317,Alexander Isley,"It takes a lot of effort to make something seem effortless.
",https://quotesondesign.com/alexander-isley-5/
2315,Wim Crouwel,"The grid is like the lines on a football field. You can play a great game in the grid or a lousy game. But the goal is to play a really fine game.
",https://quotesondesign.com/wim-crouwel-3/
2313,William Childs,"Advertising is the one industry where all the experts seem to be the people who don&#8217;t work in it.
",https://quotesondesign.com/william-childs-2/
2311,Morgan Ashley,"Just because it&#8217;s simple doesn&#8217;t mean it makes sense.
",https://quotesondesign.com/morgan-ashley/
2308,Michael Bierut,"A lot of the things about design that tend to get designers really interested aren&#8217;t that important.
",https://quotesondesign.com/michael-bierut-5/
2306,Anthony Dunne &#038; Fiona Raby,"We need to shift from designing applications to designing implications.
",https://quotesondesign.com/anthony-dunne-fiona-raby/
2303,Marty Amsler,"A good portfolio will get you an interview. A good attitude will get you a job.
",https://quotesondesign.com/marty-amsler/
2301,Nadine Buckley,"Design should never be ridden with GGE&#8217;s (gratuitous graphic elements).
",https://quotesondesign.com/nadine-buckley/
